Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,1,1.000037,0,12052000,12052000,0,0,0,0,12052000,1000
2,1,1,1.000072,0,12066000,12066000,0,0,0,0,12066000,1000
3,1,1,1.000035,0,12400000,12400000,0,0,0,0,12400000,1000
4,1,1,1.000054,0,12154000,12154000,0,0,0,0,12154000,1000
5,1,1,1.000058,0,12079000,12079000,0,0,0,0,12079000,1000
6,1,1,1.000073,0,12095000,12095000,0,0,0,0,12095000,1000
7,1,1,1.000014,0,12101000,12101000,0,0,0,0,12101000,1000
8,1,1,1.000039,0,12113000,12113000,0,0,0,0,12113000,1000
9,1,1,1.000032,0,12114000,12114000,0,0,0,0,12114000,1000
10,1,1,1.000002,0,12107000,12107000,0,0,0,0,12107000,1000
