Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,1.000002,0,251123,0,0,0,5944,0,0,0
1,8,1,1.000002,1,0,39916,0,86389,0,31037,39916,39916
1,8,1,1.000000,2,0,35307,0,106643,0,32959,35307,35307
1,8,1,1.000003,3,0,32806,0,129125,0,30783,32806,32806
1,8,1,1.000006,4,0,36175,0,100240,0,32232,36175,36175
1,8,1,1.000008,5,0,35228,0,100704,0,32494,35228,35228
1,8,1,1.000005,6,0,35521,0,100037,0,32047,35521,35521
1,8,1,1.000002,7,0,36170,0,100528,0,32982,36170,36170
2,8,1,1.000003,0,196575,0,0,0,3173,0,0,0
2,8,1,1.000002,1,0,30596,0,87514,0,22484,30596,30596
2,8,1,1.000000,2,0,24924,0,80459,0,22249,24924,24924
2,8,1,1.000000,3,0,24556,0,87251,0,22100,24556,24556
2,8,1,1.000002,4,0,29281,0,90464,0,22666,29281,29281
2,8,1,1.000002,5,0,29384,0,85944,0,22537,29384,29384
2,8,1,1.000000,6,0,28320,0,84672,0,22167,28320,28320
2,8,1,1.000001,7,0,29514,0,88190,0,22693,29514,29514
3,8,1,1.000003,0,196749,0,0,0,7325,0,0,0
3,8,1,1.000001,1,0,27842,0,84290,0,25633,27842,27842
3,8,1,1.000001,2,0,27207,0,78769,0,24808,27207,27207
3,8,1,1.000001,3,0,26360,0,84886,0,24675,26360,26360
3,8,1,1.000002,4,0,29318,0,99696,0,26564,29318,29318
3,8,1,1.000000,5,0,29289,0,95262,0,26766,29289,29289
3,8,1,1.000000,6,0,27657,0,78680,0,25056,27657,27657
3,8,1,1.000000,7,0,29076,0,100931,0,25947,29076,29076
4,8,1,1.000003,0,191054,0,0,0,5802,0,0,0
4,8,1,1.000000,1,0,30074,0,99190,0,26614,30074,30074
4,8,1,1.000004,2,0,25669,0,76768,0,24015,25669,25669
4,8,1,1.000000,3,0,25105,0,82460,0,24203,25105,25105
4,8,1,1.000001,4,0,28078,0,95684,0,26357,28078,28078
4,8,1,1.000001,5,0,27958,0,93267,0,26513,27958,27958
4,8,1,1.000000,6,0,26455,0,79318,0,24588,26455,26455
4,8,1,1.000000,7,0,27715,0,97892,0,25570,27715,27715
5,8,1,1.000008,0,190150,0,0,0,5563,0,0,0
5,8,1,1.000000,1,0,25665,0,95621,0,24418,25665,25665
5,8,1,1.000001,2,0,27647,0,80972,0,23975,27647,27647
5,8,1,1.000002,3,0,27549,0,89241,0,24004,27549,27549
5,8,1,1.000001,4,0,26478,0,96197,0,23822,26478,26478
5,8,1,1.000001,5,0,27966,0,89459,0,24816,27966,27966
5,8,1,1.000000,6,0,28184,0,87770,0,24757,28184,28184
5,8,1,1.000001,7,0,26661,0,95215,0,23499,26661,26661
6,8,1,1.000002,0,182924,0,0,0,5005,0,0,0
6,8,1,1.000003,1,0,24519,0,90213,0,23137,24519,24519
6,8,1,1.000001,2,0,27044,0,81408,0,22989,27044,27044
6,8,1,1.000001,3,0,26635,0,85338,0,23054,26635,26635
6,8,1,1.000001,4,0,25237,0,91225,0,21833,25237,25237
6,8,1,1.000002,5,0,26924,0,84076,0,23002,26924,26924
6,8,1,1.000000,6,0,27003,0,84167,0,22733,27003,27003
6,8,1,1.000000,7,0,25562,0,91575,0,22347,25562,25562
7,8,1,1.000003,0,199466,0,0,0,5421,0,0,0
7,8,1,1.000001,1,0,26242,0,81649,0,25140,26242,26242
7,8,1,1.000000,2,0,32607,0,99477,0,27197,32607,32607
7,8,1,1.000000,3,0,29876,0,94603,0,26018,29876,29876
7,8,1,1.000001,4,0,27061,0,84473,0,24762,27061,27061
7,8,1,1.000000,5,0,28440,0,82611,0,25675,28440,28440
7,8,1,1.000000,6,0,28504,0,81121,0,25745,28504,28504
7,8,1,1.000001,7,0,26736,0,86749,0,25327,26736,26736
8,8,1,1.000004,0,201369,0,0,0,5476,0,0,0
8,8,1,1.000004,1,0,27759,0,75090,0,25120,27759,27759
8,8,1,1.000001,2,0,31274,0,90470,0,26663,31274,31274
8,8,1,1.000002,3,0,30823,0,90049,0,26424,30823,30823
8,8,1,1.000002,4,0,26193,0,84095,0,25019,26193,26193
8,8,1,1.000003,5,0,28947,0,78570,0,25604,28947,28947
8,8,1,1.000000,6,0,29128,0,79649,0,25781,29128,29128
8,8,1,1.000003,7,0,27245,0,82444,0,25494,27245,27245
9,8,1,1.000003,0,193221,0,0,0,4168,0,0,0
9,8,1,1.000000,1,0,25600,0,72387,0,23215,25600,25600
9,8,1,1.000000,2,0,29002,0,84656,0,24113,29002,29002
9,8,1,1.000001,3,0,29024,0,84384,0,24399,29024,29024
9,8,1,1.000000,4,0,25300,0,78461,0,23279,25300,25300
9,8,1,1.000003,5,0,26516,0,74712,0,23282,26516,26516
9,8,1,1.000004,6,0,32366,0,84180,0,24379,32366,32366
9,8,1,1.000002,7,0,25413,0,77887,0,23345,25413,25413
10,8,1,1.000004,0,205684,0,0,0,6475,0,0,0
10,8,1,1.000000,1,0,28472,0,84282,0,26684,28472,28472
10,8,1,1.000000,2,0,31186,0,102109,0,27568,31186,31186
10,8,1,1.000001,3,0,31534,0,100571,0,27799,31534,31534
10,8,1,1.000001,4,0,27736,0,97157,0,26458,27736,27736
10,8,1,1.000002,5,0,29602,0,90385,0,26726,29602,29602
10,8,1,1.000001,6,0,29241,0,82200,0,27435,29241,29241
10,8,1,1.000000,7,0,27913,0,96207,0,26786,27913,27913
