Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,1,1.000000,0,9554331,9554331,0,0,0,0,9554331,1
2,1,1,1.000000,0,9558472,9558472,0,0,0,0,9558472,1
3,1,1,1.000000,0,9551400,9551400,0,0,0,0,9551400,1
4,1,1,1.000000,0,9465294,9465294,0,0,0,0,9465294,1
5,1,1,1.000000,0,9471165,9471165,0,0,0,0,9471165,1
6,1,1,1.000000,0,9467073,9467073,0,0,0,0,9467073,1
7,1,1,1.000000,0,9475250,9475250,0,0,0,0,9475250,1
8,1,1,1.000000,0,9471271,9471271,0,0,0,0,9471271,1
9,1,1,1.000000,0,9460960,9460960,0,0,0,0,9460960,1
10,1,1,1.000000,0,9463080,9463080,0,0,0,0,9463080,1
