Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,1,1.000036,0,26886000,26886000,0,0,0,0,26886000,1000
2,1,1,1.000015,0,23515000,23515000,0,0,0,0,23515000,1000
3,1,1,1.000038,0,23533000,23533000,0,0,0,0,23533000,1000
4,1,1,1.000014,0,23466000,23466000,0,0,0,0,23466000,1000
5,1,1,1.000014,0,23516000,23516000,0,0,0,0,23516000,1000
6,1,1,1.000015,0,23515000,23515000,0,0,0,0,23515000,1000
7,1,1,1.000027,0,23506000,23506000,0,0,0,0,23506000,1000
8,1,1,1.000032,0,23519000,23519000,0,0,0,0,23519000,1000
9,1,1,1.000007,0,23515000,23515000,0,0,0,0,23515000,1000
10,1,1,1.000037,0,23482000,23482000,0,0,0,0,23482000,1000
