Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,1.002610,0,264000,0,0,0,0,0,0,0
1,8,1,1.002611,1,0,111280,0,213720,0,0,111280,111280
1,8,1,1.000643,2,0,70592,0,247408,0,0,70592,70592
1,8,1,1.001897,3,0,19007,0,95993,0,0,19007,19007
1,8,1,1.002438,4,0,2552,0,61448,0,0,2552,2552
1,8,1,1.000899,5,0,17629,0,139371,0,0,17629,17629
1,8,1,1.002633,6,0,2580,0,38420,0,0,2580,2580
1,8,1,1.001555,7,0,40360,0,82640,0,0,40360,40360
2,8,1,1.002153,0,386000,0,0,0,0,0,0,0
2,8,1,1.002275,1,0,23135,0,22865,0,0,23135,23135
2,8,1,1.002284,2,0,65133,0,51867,0,0,65133,65133
2,8,1,1.002185,3,0,1638,0,7362,0,0,1638,1638
2,8,1,1.002289,4,0,3524,0,30476,0,0,3524,3524
2,8,1,1.001819,5,0,242419,0,137581,0,0,242419,242419
2,8,1,1.001933,6,0,29291,0,45709,0,0,29291,29291
2,8,1,1.002287,7,0,20860,0,28140,0,0,20860,20860
3,8,1,1.002643,0,345000,0,0,0,0,0,0,0
3,8,1,1.002774,1,0,1228,0,8772,0,0,1228,1228
3,8,1,1.002675,2,0,14142,0,28858,0,0,14142,14142
3,8,1,1.002800,3,0,1172,0,9828,0,0,1172,1172
3,8,1,1.002808,4,0,2012,0,32988,0,0,2012,2012
3,8,1,1.002683,5,0,178231,0,172769,0,0,178231,178231
3,8,1,1.002772,6,0,13605,0,42395,0,0,13605,13605
3,8,1,1.002526,7,0,134610,0,158390,0,0,134610,134610
4,8,1,1.001514,0,374000,0,0,0,0,0,0,0
4,8,1,1.001529,1,0,42583,0,35417,0,0,42583,42583
4,8,1,1.001544,2,0,15368,0,21632,0,0,15368,15368
4,8,1,1.001577,3,0,1441,0,10559,0,0,1441,1441
4,8,1,1.001534,4,0,4262,0,35738,0,0,4262,4262
4,8,1,1.000540,5,0,247203,0,145797,0,0,247203,247203
4,8,1,1.000998,6,0,23558,0,39442,0,0,23558,23558
4,8,1,1.001586,7,0,39585,0,41415,0,0,39585,39585
5,8,1,1.000938,0,379000,0,0,0,0,0,0,0
5,8,1,1.001112,1,0,34244,0,40756,0,0,34244,34244
5,8,1,1.001211,2,0,1641,0,10359,0,0,1641,1641
5,8,1,1.001178,3,0,1325,0,9675,0,0,1325,1325
5,8,1,1.001221,4,0,3403,0,87597,0,0,3403,3403
5,8,1,1.000573,5,0,251425,0,164575,0,0,251425,251425
5,8,1,1.001121,6,0,18361,0,39639,0,0,18361,18361
5,8,1,1.001224,7,0,68601,0,65399,0,0,68601,68601
6,8,1,1.000183,0,370000,0,0,0,0,0,0,0
6,8,1,1.000123,1,0,51585,0,58415,0,0,51585,51585
6,8,1,1.000321,2,0,2206,0,12794,0,0,2206,2206
6,8,1,1.000313,3,0,2483,0,11517,0,0,2483,2483
6,8,1,1.000361,4,0,3970,0,37030,0,0,3970,3970
6,8,1,1.000326,5,0,244964,0,170036,0,0,244964,244964
6,8,1,1.000357,6,0,22763,0,45237,0,0,22763,22763
6,8,1,1.000302,7,0,42029,0,51971,0,0,42029,42029
7,8,1,1.001422,0,384000,0,0,0,0,0,0,0
7,8,1,1.000222,1,0,161025,0,110975,0,0,161025,161025
7,8,1,1.000300,2,0,13811,0,38189,0,0,13811,13811
7,8,1,1.001461,3,0,13957,0,35043,0,0,13957,13957
7,8,1,1.001654,4,0,3473,0,20527,0,0,3473,3473
7,8,1,1.001536,5,0,31216,0,56784,0,0,31216,31216
7,8,1,1.001561,6,0,1686,0,9314,0,0,1686,1686
7,8,1,1.001655,7,0,158832,0,100168,0,0,158832,158832
8,8,1,1.000625,0,372000,0,0,0,0,0,0,0
8,8,1,1.000749,1,0,151725,0,148275,0,0,151725,151725
8,8,1,1.000925,2,0,16627,0,50373,0,0,16627,16627
8,8,1,1.000877,3,0,10594,0,36406,0,0,10594,10594
8,8,1,1.000926,4,0,2870,0,30130,0,0,2870,2870
8,8,1,1.000644,5,0,28760,0,69240,0,0,28760,28760
8,8,1,1.000913,6,0,1920,0,15080,0,0,1920,1920
8,8,1,1.000656,7,0,159504,0,130496,0,0,159504,159504
9,8,1,1.000320,0,347000,0,0,0,0,0,0,0
9,8,1,1.000986,1,0,142542,0,159458,0,0,142542,142542
9,8,1,1.001074,2,0,16906,0,70094,0,0,16906,16906
9,8,1,1.001047,3,0,15204,0,60796,0,0,15204,15204
9,8,1,1.001069,4,0,4980,0,62020,0,0,4980,4980
9,8,1,1.001016,5,0,19786,0,89214,0,0,19786,19786
9,8,1,1.000694,6,0,2623,0,26377,0,0,2623,2623
9,8,1,1.000712,7,0,144959,0,151041,0,0,144959,144959
10,8,1,1.002663,0,362000,0,0,0,0,0,0,0
10,8,1,1.002707,1,0,150630,0,157370,0,0,150630,150630
10,8,1,1.002855,2,0,8377,0,37623,0,0,8377,8377
10,8,1,1.002779,3,0,21266,0,53734,0,0,21266,21266
10,8,1,1.002669,4,0,5222,0,60778,0,0,5222,5222
10,8,1,1.002886,5,0,25504,0,72496,0,0,25504,25504
10,8,1,1.002872,6,0,1798,0,18202,0,0,1798,1798
10,8,1,1.002762,7,0,149203,0,124797,0,0,149203,149203
