Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,2,1,1.000000,0,3963839,0,0,0,0,0,0,0
1,2,1,1.000000,1,0,2120054,0,0,0,0,2120054,2120054
2,2,1,1.000000,0,4534226,0,0,0,0,0,0,0
2,2,1,1.000000,1,0,1840464,0,0,0,0,1840464,1840464
3,2,1,1.000000,0,4106872,0,0,0,0,0,0,0
3,2,1,1.000000,1,0,2203917,0,569,0,0,2203917,2203917
4,2,1,1.000000,0,4055220,0,0,0,0,0,0,0
4,2,1,1.000000,1,0,2124289,0,0,0,0,2124289,2124289
5,2,1,1.000000,0,4092115,0,0,0,0,0,0,0
5,2,1,1.000000,1,0,2095897,0,0,0,0,2095897,2095897
6,2,1,1.000000,0,4076805,0,0,0,0,0,0,0
6,2,1,1.000000,1,0,2087928,0,0,0,0,2087928,2087928
7,2,1,1.000000,0,4042134,0,0,0,0,0,0,0
7,2,1,1.000000,1,0,2059513,0,0,0,0,2059513,2059513
8,2,1,1.000000,0,4041761,0,0,0,0,0,0,0
8,2,1,1.000000,1,0,2037697,0,0,0,0,2037697,2037697
9,2,1,1.000000,0,4043667,0,0,0,0,0,0,0
9,2,1,1.000000,1,0,2090339,0,0,0,0,2090339,2090339
10,2,1,1.000000,0,4083497,0,0,0,0,0,0,0
10,2,1,1.000000,1,0,2073336,0,0,0,0,2073336,2073336
