Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,1,1.000000,0,0,0,0,17983416,0,0,0,0
2,1,1,1.000000,0,0,0,0,18021831,0,0,0,0
3,1,1,1.000000,0,0,0,0,18010542,0,0,0,0
4,1,1,1.000000,0,0,0,0,17837711,0,0,0,0
5,1,1,1.000000,0,0,0,0,17832301,0,0,0,0
6,1,1,1.000000,0,0,0,0,17866657,0,0,0,0
7,1,1,1.000000,0,0,0,0,17855332,0,0,0,0
8,1,1,1.000000,0,0,0,0,17866491,0,0,0,0
9,1,1,1.000000,0,0,0,0,17859498,0,0,0,0
10,1,1,1.000000,0,0,0,0,17866018,0,0,0,0
