Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,1.000012,0,420666,0,0,0,0,0,0,0
1,8,1,1.000000,1,0,434,0,4178,0,0,434,434
1,8,1,1.000000,2,0,62917,0,75353,0,0,62917,62917
1,8,1,1.000004,3,0,297,0,3355,0,0,297,297
1,8,1,1.000007,4,0,160984,0,133183,0,0,160984,160984
1,8,1,1.000003,5,0,1078,0,5893,0,0,1078,1078
1,8,1,1.000013,6,0,193028,0,141542,0,0,193028,193028
1,8,1,1.000003,7,0,1928,0,6177,0,0,1928,1928
2,8,1,1.000009,0,580237,0,0,0,0,0,0,0
2,8,1,1.000004,1,0,70124,0,43285,0,0,70124,70124
2,8,1,1.000004,2,0,980,0,7861,0,0,980,980
2,8,1,1.000004,3,0,191640,0,63427,0,0,191640,191640
2,8,1,1.000004,4,0,11870,0,70619,0,0,11870,11870
2,8,1,1.000002,5,0,111043,0,49724,0,0,111043,111043
2,8,1,1.000011,6,0,1933,0,31858,0,0,1933,1933
2,8,1,1.000001,7,0,192647,0,38994,0,0,192647,192647
3,8,1,1.000002,0,545897,0,0,0,0,0,0,0
3,8,1,1.000000,1,0,37322,0,6709,0,0,37322,37322
3,8,1,1.000001,2,0,518,0,617,0,0,518,518
3,8,1,1.000001,3,0,179723,0,48184,0,0,179723,179723
3,8,1,1.000000,4,0,2403,0,1625,0,0,2403,2403
3,8,1,1.000000,5,0,80209,0,11955,0,0,80209,80209
3,8,1,1.000004,6,0,41649,0,6984,0,0,41649,41649
3,8,1,1.000002,7,0,204073,0,16370,0,0,204073,204073
4,8,1,1.000038,0,582484,0,0,0,0,0,0,0
4,8,1,1.000006,1,0,70519,0,50283,0,0,70519,70519
4,8,1,1.000019,2,0,836,0,11306,0,0,836,836
4,8,1,1.000005,3,0,185893,0,69780,0,0,185893,185893
4,8,1,1.000010,4,0,12871,0,77052,0,0,12871,12871
4,8,1,1.000002,5,0,122928,0,58008,0,0,122928,122928
4,8,1,1.000009,6,0,14888,0,21654,0,0,14888,14888
4,8,1,1.000008,7,0,174517,0,45681,0,0,174517,174517
5,8,1,1.000034,0,572781,0,0,0,0,0,0,0
5,8,1,1.000006,1,0,60945,0,53397,0,0,60945,60945
5,8,1,1.000016,2,0,332,0,11417,0,0,332,332
5,8,1,1.000004,3,0,191860,0,73577,0,0,191860,191860
5,8,1,1.000012,4,0,11424,0,89842,0,0,11424,11424
5,8,1,1.000005,5,0,130834,0,60600,0,0,130834,130834
5,8,1,1.000016,6,0,1793,0,44426,0,0,1793,1793
5,8,1,1.000004,7,0,175585,0,44792,0,0,175585,175585
6,8,1,1.000001,0,542941,0,0,0,0,0,0,0
6,8,1,1.000011,1,0,60339,0,53523,0,0,60339,60339
6,8,1,1.000010,2,0,1448,0,9128,0,0,1448,1448
6,8,1,1.000001,3,0,193937,0,72262,0,0,193937,193937
6,8,1,1.000002,4,0,16055,0,79787,0,0,16055,16055
6,8,1,1.000004,5,0,96904,0,58443,0,0,96904,96904
6,8,1,1.000017,6,0,2850,0,42162,0,0,2850,2850
6,8,1,1.000000,7,0,171387,0,46166,0,0,171387,171387
7,8,1,1.000036,0,572985,0,0,0,0,0,0,0
7,8,1,1.000009,1,0,70950,0,54830,0,0,70950,70950
7,8,1,1.000014,2,0,379,0,14071,0,0,379,379
7,8,1,1.000004,3,0,196634,0,76448,0,0,196634,196634
7,8,1,1.000005,4,0,15103,0,83784,0,0,15103,15103
7,8,1,1.000004,5,0,112180,0,61373,0,0,112180,112180
7,8,1,1.000003,6,0,1839,0,43949,0,0,1839,1839
7,8,1,1.000004,7,0,175830,0,47579,0,0,175830,175830
8,8,1,1.000033,0,571205,0,0,0,0,0,0,0
8,8,1,1.000005,1,0,73143,0,55351,0,0,73143,73143
8,8,1,1.000006,2,0,500,0,17963,0,0,500,500
8,8,1,1.000000,3,0,193732,0,75705,0,0,193732,193732
8,8,1,1.000003,4,0,13481,0,85637,0,0,13481,13481
8,8,1,1.000007,5,0,112397,0,60986,0,0,112397,112397
8,8,1,1.000005,6,0,1713,0,46383,0,0,1713,1713
8,8,1,1.000001,7,0,176164,0,47053,0,0,176164,176164
9,8,1,1.000034,0,573366,0,0,0,0,0,0,0
9,8,1,1.000009,1,0,72412,0,55997,0,0,72412,72412
9,8,1,1.000006,2,0,773,0,19613,0,0,773,773
9,8,1,1.000001,3,0,194370,0,78488,0,0,194370,194370
9,8,1,1.000000,4,0,15169,0,78919,0,0,15169,15169
9,8,1,1.000008,5,0,112650,0,62493,0,0,112650,112650
9,8,1,1.000004,6,0,2045,0,44384,0,0,2045,2045
9,8,1,1.000001,7,0,175940,0,48998,0,0,175940,175940
10,8,1,1.000036,0,573025,0,0,0,0,0,0,0
10,8,1,1.000002,1,0,92013,0,53647,0,0,92013,92013
10,8,1,1.000018,2,0,625,0,18445,0,0,625,625
10,8,1,1.000002,3,0,192726,0,77204,0,0,192726,192726
10,8,1,1.000016,4,0,16061,0,79481,0,0,16061,16061
10,8,1,1.000009,5,0,111361,0,61942,0,0,111361,111361
10,8,1,1.000008,6,0,2331,0,44407,0,0,2331,2331
10,8,1,1.000005,7,0,157895,0,50462,0,0,157895,157895
