Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,1,1.000030,0,12074000,12074000,0,0,0,0,12074000,1000
2,1,1,1.000056,0,12074000,12074000,0,0,0,0,12074000,1000
3,1,1,1.000075,0,12370000,12370000,0,0,0,0,12370000,1000
4,1,1,1.000054,0,12161000,12161000,0,0,0,0,12161000,1000
5,1,1,1.000060,0,12116000,12116000,0,0,0,0,12116000,1000
6,1,1,1.000016,0,12111000,12111000,0,0,0,0,12111000,1000
7,1,1,1.000014,0,12147000,12147000,0,0,0,0,12147000,1000
8,1,1,1.000062,0,12145000,12145000,0,0,0,0,12145000,1000
9,1,1,1.000056,0,12130000,12130000,0,0,0,0,12130000,1000
10,1,1,1.000059,0,12107000,12107000,0,0,0,0,12107000,1000
