Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,10,1,1.000044,0,346504,0,0,0,0,0,0,0
1,10,1,1.000004,1,0,434,0,1349,0,0,434,434
1,10,1,1.000011,2,0,41874,0,125840,0,0,41874,41874
1,10,1,1.000008,3,0,66,0,1097,0,0,66,66
1,10,1,1.000011,4,0,34851,0,55190,0,0,34851,34851
1,10,1,1.000047,5,0,55,0,1287,0,0,55,55
1,10,1,1.000035,6,0,116,0,1051,0,0,116,116
1,10,1,1.000001,7,0,149180,0,202373,0,0,149180,149180
1,10,1,1.000003,8,0,119784,0,185537,0,0,119784,119784
1,10,1,1.000033,9,0,56,0,1111,0,0,56,56
2,10,1,1.000036,0,439203,0,0,0,0,0,0,0
2,10,1,1.000001,1,0,160658,0,65773,0,0,160658,160658
2,10,1,1.000014,2,0,45948,0,67549,0,0,45948,45948
2,10,1,1.000014,3,0,2830,0,18784,0,0,2830,2830
2,10,1,1.000011,4,0,25033,0,66259,0,0,25033,25033
2,10,1,1.000016,5,0,2060,0,11721,0,0,2060,2060
2,10,1,1.000019,6,0,4114,0,61048,0,0,4114,4114
2,10,1,1.000004,7,0,129405,0,57883,0,0,129405,129405
2,10,1,1.000011,8,0,67027,0,75461,0,0,67027,67027
2,10,1,1.000012,9,0,2123,0,27038,0,0,2123,2123
3,10,1,1.000130,0,338846,0,0,0,0,0,0,0
3,10,1,1.000242,1,0,122278,0,75808,0,0,122278,122278
3,10,1,1.000231,2,0,31917,0,77852,0,0,31917,31917
3,10,1,1.000118,3,0,4499,0,21836,0,0,4499,4499
3,10,1,1.000151,4,0,19867,0,73455,0,0,19867,19867
3,10,1,1.000191,5,0,3453,0,17923,0,0,3453,3453
3,10,1,1.000129,6,0,5971,0,67262,0,0,5971,5971
3,10,1,1.000218,7,0,102476,0,67600,0,0,102476,102476
3,10,1,1.000172,8,0,44068,0,86025,0,0,44068,44068
3,10,1,1.000211,9,0,4307,0,44110,0,0,4307,4307
4,10,1,1.000007,0,209176,0,0,0,0,0,0,0
4,10,1,1.000001,1,0,23056,0,351810,0,0,23056,23056
4,10,1,1.000007,2,0,806,0,256953,0,0,806,806
4,10,1,1.000013,3,0,28449,0,96904,0,0,28449,28449
4,10,1,1.000001,4,0,44777,0,419721,0,0,44777,44777
4,10,1,1.000015,5,0,4096,0,2175,0,0,4096,4096
4,10,1,1.000016,6,0,3621,0,2273,0,0,3621,3621
4,10,1,1.000003,7,0,24827,0,383675,0,0,24827,24827
4,10,1,1.000001,8,0,75195,0,254773,0,0,75195,75195
4,10,1,1.000016,9,0,4349,0,3510,0,0,4349,4349
5,10,1,1.000014,0,224551,0,0,0,0,0,0,0
5,10,1,1.000003,1,0,19701,0,356196,0,0,19701,19701
5,10,1,1.000003,2,0,541,0,260004,0,0,541,541
5,10,1,1.000009,3,0,50275,0,82290,0,0,50275,50275
5,10,1,1.000003,4,0,48314,0,416350,0,0,48314,48314
