Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,5,5.000001,0,578352000,578352000,0,0,0,0,578352000,1000
2,1,5,5.000003,0,580634000,580634000,0,0,0,0,580634000,1000
3,1,5,5.000006,0,580745000,580745000,0,0,0,0,580745000,1000
4,1,5,5.000007,0,578892000,578892000,0,0,0,0,578892000,1000
5,1,5,5.000009,0,580181000,580181000,0,0,0,0,580181000,1000
6,1,5,5.000002,0,578325000,578325000,0,0,0,0,578325000,1000
7,1,5,5.000005,0,581149000,581149000,0,0,0,0,581149000,1000
8,1,5,5.000008,0,354538000,354538000,0,0,0,0,354538000,1000
9,1,5,5.000007,0,580441000,580441000,0,0,0,0,580441000,1000
10,1,5,5.000008,0,578260000,578260000,0,0,0,0,578260000,1000
