Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,2,1,1.001284,0,551000,551000,0,0,45528,77364,551000,1000
1,2,1,1.001257,1,558000,558000,0,0,46834,61795,558000,1000
2,2,1,1.001371,0,479000,479000,0,0,39107,28383,479000,1000
2,2,1,1.001334,1,449000,449000,0,0,49046,40178,449000,1000
3,2,1,1.001596,0,543000,543000,0,0,71112,46934,543000,1000
3,2,1,1.001584,1,553000,553000,0,0,73125,45129,553000,1000
4,2,1,1.000670,0,535000,535000,0,0,47175,44536,535000,1000
4,2,1,1.000718,1,527000,527000,0,0,47405,40800,527000,1000
5,2,1,1.000226,0,521000,521000,0,0,64176,37341,521000,1000
5,2,1,1.000272,1,524000,524000,0,0,64125,33028,524000,1000
6,2,1,1.001544,0,523000,523000,0,0,62673,39697,523000,1000
6,2,1,1.001543,1,518000,518000,0,0,64705,35696,518000,1000
7,2,1,1.000355,0,541000,541000,0,0,48933,40593,541000,1000
7,2,1,1.000421,1,510000,510000,0,0,45563,56495,510000,1000
8,2,1,1.001015,0,525000,525000,0,0,56822,42497,525000,1000
8,2,1,1.001032,1,532000,532000,0,0,55537,42854,532000,1000
9,2,1,1.000803,0,519000,519000,0,0,81252,53790,519000,1000
9,2,1,1.000795,1,516000,516000,0,0,88706,61562,516000,1000
10,2,1,1.000658,0,529000,529000,0,0,62742,51760,529000,1000
10,2,1,1.000617,1,529000,529000,0,0,60018,55197,529000,1000
