Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,2,1,0,1254932,0,0,0,0,0,0,0
1,2,1,1,0,1154382,0,0,0,0,1154382,1154382
2,2,1,0,737488,0,0,0,0,0,0,0
2,2,1,1,0,632747,0,0,0,0,632747,632747
3,2,1,0,792619,0,0,0,0,0,0,0
3,2,1,1,0,787601,0,6776,0,2,787601,787601
4,2,1,0,1703088,0,0,0,0,0,0,0
4,2,1,1,0,789823,0,0,0,0,789823,789823
5,2,1,0,1662082,0,0,0,0,0,0,0
5,2,1,1,0,796887,0,0,0,0,796887,796887
6,2,1,0,1658480,0,0,0,0,0,0,0
6,2,1,1,0,788727,0,0,0,0,788727,788727
7,2,1,0,1336549,0,0,0,0,0,0,0
7,2,1,1,0,1014777,0,0,0,0,1014777,1014777
8,2,1,0,1323209,0,0,0,0,0,0,0
8,2,1,1,0,1073515,0,0,0,0,1073515,1073515
9,2,1,0,1265940,0,0,0,0,0,0,0
9,2,1,1,0,1112214,0,0,0,0,1112214,1112214
10,2,1,0,1246663,0,0,0,0,0,0,0
10,2,1,1,0,1125647,0,0,0,0,1125647,1125647
