Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,64,1,0,19073,0,0,0,0,0,0,0
1,64,1,1,23909,0,0,0,0,0,0,0
1,64,1,2,16862,0,0,0,0,0,0,0
1,64,1,3,3897,0,0,0,0,0,0,0
1,64,1,4,21043,0,0,0,0,0,0,0
1,64,1,5,1357,0,0,0,0,0,0,0
1,64,1,6,24808,0,0,0,0,0,0,0
1,64,1,7,3169,0,0,0,0,0,0,0
1,64,1,8,52228,0,0,0,0,0,0,0
1,64,1,9,8541,0,0,0,0,0,0,0
1,64,1,10,25106,0,0,0,0,0,0,0
1,64,1,11,8145,0,0,0,0,0,0,0
1,64,1,12,2975,0,0,0,0,0,0,0
1,64,1,13,2883,0,0,0,0,0,0,0
1,64,1,14,4285,0,0,0,0,0,0,0
1,64,1,15,4255,0,0,0,0,0,0,0
1,64,1,16,42436,0,0,0,0,0,0,0
1,64,1,17,20680,0,0,0,0,0,0,0
1,64,1,18,27867,0,0,0,0,0,0,0
1,64,1,19,19468,0,0,0,0,0,0,0
1,64,1,20,2962,0,0,0,0,0,0,0
1,64,1,21,39832,0,0,0,0,0,0,0
1,64,1,22,32974,0,0,0,0,0,0,0
1,64,1,23,7608,0,0,0,0,0,0,0
1,64,1,24,42755,0,0,0,0,0,0,0
1,64,1,25,49964,0,0,0,0,0,0,0
1,64,1,26,24054,0,0,0,0,0,0,0
1,64,1,27,47890,0,0,0,0,0,0,0
1,64,1,28,37974,0,0,0,0,0,0,0
1,64,1,29,2776,0,0,0,0,0,0,0
1,64,1,30,5759,0,0,0,0,0,0,0
1,64,1,31,2543,0,0,0,0,0,0,0
1,64,1,32,0,27632,0,0,0,0,27632,27632
1,64,1,33,0,45835,0,0,0,0,45835,45835
1,64,1,34,0,77,0,0,0,0,77,77
1,64,1,35,0,1731,0,0,0,0,1731,1731
1,64,1,36,0,13936,0,0,0,0,13936,13936
1,64,1,37,0,44845,0,0,0,0,44845,44845
