Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,0,202000,0,0,0,6250,0,0,0
1,8,1,1,0,29104,0,74896,0,23545,29104,29104
1,8,1,2,0,29841,0,89159,0,24810,29841,29841
1,8,1,3,0,29473,0,104527,0,25358,29473,29473
1,8,1,4,0,27903,0,110097,0,25943,27903,27903
1,8,1,5,0,27869,0,112131,0,25598,27869,27869
1,8,1,6,0,27571,0,107429,0,25446,27571,27571
1,8,1,7,0,30239,0,66761,0,22512,30239,30239
2,8,1,0,193000,0,0,0,5815,0,0,0
2,8,1,1,0,29766,0,103234,0,22470,29766,29766
2,8,1,2,0,28202,0,97798,0,23271,28202,28202
2,8,1,3,0,27503,0,83497,0,22258,27503,27503
2,8,1,4,0,25754,0,87246,0,23309,25754,25754
2,8,1,5,0,26693,0,68307,0,22014,26693,26693
2,8,1,6,0,25588,0,83412,0,22706,25588,25588
2,8,1,7,0,29494,0,99506,0,22810,29494,29494
3,8,1,0,189000,0,0,0,5932,0,0,0
3,8,1,1,0,28550,0,96450,0,23421,28550,28550
3,8,1,2,0,28878,0,89122,0,22958,28878,28878
3,8,1,3,0,26317,0,86683,0,23473,26317,26317
3,8,1,4,0,25229,0,83771,0,23040,25229,25229
3,8,1,5,0,25937,0,69063,0,21769,25937,25937
3,8,1,6,0,25512,0,83488,0,23361,25512,25512
3,8,1,7,0,28577,0,89423,0,23001,28577,28577
4,8,1,0,195000,0,0,0,5801,0,0,0
4,8,1,1,0,29035,0,94965,0,23806,29035,29035
4,8,1,2,0,29907,0,86093,0,23446,29907,29907
4,8,1,3,0,27157,0,84843,0,23732,27157,27157
4,8,1,4,0,26240,0,80760,0,23219,26240,26240
4,8,1,5,0,26975,0,66025,0,22451,26975,26975
4,8,1,6,0,26552,0,81448,0,23318,26552,26552
4,8,1,7,0,29134,0,89866,0,22873,29134,29134
5,8,1,0,189000,0,0,0,6220,0,0,0
5,8,1,1,0,28216,0,94784,0,23871,28216,28216
5,8,1,2,0,28945,0,91055,0,23743,28945,28945
5,8,1,3,0,26324,0,85676,0,23802,26324,26324
5,8,1,4,0,25633,0,83367,0,23999,25633,25633
5,8,1,5,0,25947,0,68053,0,22689,25947,25947
5,8,1,6,0,25428,0,82572,0,23295,25428,25428
5,8,1,7,0,28507,0,91493,0,23139,28507,28507
6,8,1,0,195000,0,0,0,5691,0,0,0
6,8,1,1,0,28916,0,93084,0,22616,28916,28916
6,8,1,2,0,29965,0,86035,0,22548,29965,29965
6,8,1,3,0,27264,0,82736,0,22927,27264,27264
6,8,1,4,0,26357,0,80643,0,22479,26357,26357
6,8,1,5,0,26918,0,67082,0,21817,26918,26918
6,8,1,6,0,26267,0,78733,0,22156,26267,26267
6,8,1,7,0,29313,0,87687,0,22132,29313,29313
7,8,1,0,194000,0,0,0,6066,0,0,0
7,8,1,1,0,29391,0,105609,0,23660,29391,29391
7,8,1,2,0,28079,0,99921,0,24389,28079,28079
7,8,1,3,0,27733,0,86267,0,23232,27733,27733
7,8,1,4,0,25958,0,86042,0,23435,25958,25958
7,8,1,5,0,26883,0,69117,0,22829,26883,26883
7,8,1,6,0,26320,0,86680,0,23751,26320,26320
7,8,1,7,0,29636,0,101364,0,22711,29636,29636
8,8,1,0,192000,0,0,0,5874,0,0,0
8,8,1,1,0,29250,0,104750,0,22543,29250,29250
8,8,1,2,0,27854,0,99146,0,23487,27854,27854
8,8,1,3,0,27382,0,86618,0,22387,27382,27382
8,8,1,4,0,25538,0,85462,0,22631,25538,25538
8,8,1,5,0,26659,0,68341,0,22235,26659,26659
8,8,1,6,0,26014,0,84986,0,23136,26014,26014
8,8,1,7,0,29303,0,99697,0,22063,29303,29303
9,8,1,0,199000,0,0,0,5460,0,0,0
9,8,1,1,0,30378,0,99622,0,21919,30378,30378
9,8,1,2,0,28784,0,95216,0,22677,28784,28784
9,8,1,3,0,28437,0,79563,0,21626,28437,28437
9,8,1,4,0,26743,0,80257,0,21841,26743,26743
9,8,1,5,0,27579,0,66421,0,21668,27579,27579
9,8,1,6,0,26651,0,81349,0,21461,26651,26651
9,8,1,7,0,30428,0,94572,0,20950,30428,30428
10,8,1,0,192000,0,0,0,6196,0,0,0
10,8,1,1,0,29226,0,105774,0,22979,29226,29226
10,8,1,2,0,27992,0,99008,0,23965,27992,27992
10,8,1,3,0,27322,0,83678,0,23030,27322,27322
10,8,1,4,0,25944,0,85056,0,23198,25944,25944
10,8,1,5,0,26509,0,69491,0,22630,26509,26509
10,8,1,6,0,25740,0,85260,0,22932,25740,25740
10,8,1,7,0,29267,0,98733,0,22259,29267,29267
