Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,64,1,0,152,152,0,0,0,0,152,1
1,64,1,1,1343,1343,0,0,0,0,1343,1
1,64,1,2,980,980,0,0,0,0,980,1
1,64,1,3,64,64,0,0,0,0,64,1
1,64,1,4,45,45,0,0,0,0,45,1
1,64,1,5,39,39,0,0,0,0,39,1
1,64,1,6,646,646,0,0,0,0,646,1
1,64,1,7,77,77,0,0,0,0,77,1
1,64,1,8,429,429,0,0,0,0,429,1
1,64,1,9,383,383,0,0,0,0,383,1
1,64,1,10,37,37,0,0,0,0,37,1
1,64,1,11,1598,1598,0,0,0,0,1598,1
1,64,1,12,8189,8189,0,0,0,0,8189,1
1,64,1,13,35005,35005,0,0,0,0,35005,1
1,64,1,14,331,331,0,0,0,0,331,1
1,64,1,15,830,830,0,0,0,0,830,1
1,64,1,16,1546,1546,0,0,0,0,1546,1
1,64,1,17,43,43,0,0,0,0,43,1
1,64,1,18,592,592,0,0,0,0,592,1
1,64,1,19,63,63,0,0,0,0,63,1
1,64,1,20,36,36,0,0,0,0,36,1
1,64,1,21,1624,1624,0,0,0,0,1624,1
1,64,1,22,570,570,0,0,0,0,570,1
1,64,1,23,868,868,0,0,0,0,868,1
1,64,1,24,291,291,0,0,0,0,291,1
1,64,1,25,504,504,0,0,0,0,504,1
1,64,1,26,60,60,0,0,0,0,60,1
1,64,1,27,425,425,0,0,0,0,425,1
1,64,1,28,33911,33911,0,0,0,0,33911,1
1,64,1,29,50,50,0,0,0,0,50,1
1,64,1,30,253,253,0,0,0,0,253,1
1,64,1,31,59,59,0,0,0,0,59,1
1,64,1,32,27174,27174,0,0,0,0,27174,1
1,64,1,33,15,15,0,0,0,0,15,1
1,64,1,34,345,345,0,0,0,0,345,1
1,64,1,35,140,140,0,0,0,0,140,1
1,64,1,36,79,79,0,0,0,0,79,1
1,64,1,37,1641,1641,0,0,0,0,1641,1
1,64,1,38,35,35,0,0,0,0,35,1
1,64,1,39,257,257,0,0,0,0,257,1
1,64,1,40,157,157,0,0,0,0,157,1
1,64,1,41,30,30,0,0,0,0,30,1
1,64,1,42,137,137,0,0,0,0,137,1
1,64,1,43,1484,1484,0,0,0,0,1484,1
1,64,1,44,52,52,0,0,0,0,52,1
1,64,1,45,143,143,0,0,0,0,143,1
1,64,1,46,403,403,0,0,0,0,403,1
1,64,1,47,320,320,0,0,0,0,320,1
1,64,1,48,140,140,0,0,0,0,140,1
1,64,1,49,32039,32039,0,0,0,0,32039,1
1,64,1,50,378,378,0,0,0,0,378,1
1,64,1,51,466,466,0,0,0,0,466,1
1,64,1,52,161,161,0,0,0,0,161,1
1,64,1,53,28945,28945,0,0,0,0,28945,1
1,64,1,54,351,351,0,0,0,0,351,1
1,64,1,55,36604,36604,0,0,0,0,36604,1
1,64,1,56,3055,3055,0,0,0,0,3055,1
1,64,1,57,32638,32638,0,0,0,0,32638,1
1,64,1,58,197,197,0,0,0,0,197,1
1,64,1,59,40568,40568,0,0,0,0,40568,1
1,64,1,60,411,411,0,0,0,0,411,1
1,64,1,61,463,463,0,0,0,0,463,1
1,64,1,62,1679,1679,0,0,0,0,1679,1
1,64,1,63,941,941,0,0,0,0,941,1
2,64,1,0,18,18,0,0,0,0,18,1
2,64,1,1,48,48,0,0,0,0,48,1
2,64,1,2,300,300,0,0,0,0,300,1
2,64,1,3,26,26,0,0,0,0,26,1
2,64,1,4,53,53,0,0,0,0,53,1
2,64,1,5,35,35,0,0,0,0,35,1
2,64,1,6,248,248,0,0,0,0,248,1
2,64,1,7,55,55,0,0,0,0,55,1
2,64,1,8,595,595,0,0,0,0,595,1
2,64,1,9,586,586,0,0,0,0,586,1
2,64,1,10,32,32,0,0,0,0,32,1
2,64,1,11,1850,1850,0,0,0,0,1850,1
2,64,1,12,214,214,0,0,0,0,214,1
2,64,1,13,37795,37795,0,0,0,0,37795,1
2,64,1,14,61,61,0,0,0,0,61,1
2,64,1,15,814,814,0,0,0,0,814,1
2,64,1,16,1570,1570,0,0,0,0,1570,1
2,64,1,17,46,46,0,0,0,0,46,1
2,64,1,18,285,285,0,0,0,0,285,1
2,64,1,19,43,43,0,0,0,0,43,1
2,64,1,20,21,21,0,0,0,0,21,1
2,64,1,21,1552,1552,0,0,0,0,1552,1
2,64,1,22,611,611,0,0,0,0,611,1
2,64,1,23,342,342,0,0,0,0,342,1
2,64,1,24,23,23,0,0,0,0,23,1
2,64,1,25,17,17,0,0,0,0,17,1
2,64,1,26,162,162,0,0,0,0,162,1
2,64,1,27,284,284,0,0,0,0,284,1
2,64,1,28,35537,35537,0,0,0,0,35537,1
2,64,1,29,55,55,0,0,0,0,55,1
2,64,1,30,432,432,0,0,0,0,432,1
2,64,1,31,59,59,0,0,0,0,59,1
2,64,1,32,30690,30690,0,0,0,0,30690,1
2,64,1,33,22,22,0,0,0,0,22,1
2,64,1,34,557,557,0,0,0,0,557,1
2,64,1,35,13,13,0,0,0,0,13,1
2,64,1,36,48,48,0,0,0,0,48,1
2,64,1,37,1616,1616,0,0,0,0,1616,1
2,64,1,38,39,39,0,0,0,0,39,1
2,64,1,39,297,297,0,0,0,0,297,1
2,64,1,40,170,170,0,0,0,0,170,1
2,64,1,41,9,9,0,0,0,0,9,1
2,64,1,42,10,10,0,0,0,0,10,1
2,64,1,43,1430,1430,0,0,0,0,1430,1
2,64,1,44,55,55,0,0,0,0,55,1
2,64,1,45,17,17,0,0,0,0,17,1
2,64,1,46,582,582,0,0,0,0,582,1
2,64,1,47,12,12,0,0,0,0,12,1
2,64,1,48,26,26,0,0,0,0,26,1
2,64,1,49,41212,41212,0,0,0,0,41212,1
2,64,1,50,290,290,0,0,0,0,290,1
2,64,1,51,624,624,0,0,0,0,624,1
2,64,1,52,299,299,0,0,0,0,299,1
2,64,1,53,29404,29404,0,0,0,0,29404,1
2,64,1,54,12,12,0,0,0,0,12,1
2,64,1,55,37728,37728,0,0,0,0,37728,1
2,64,1,56,12,12,0,0,0,0,12,1
2,64,1,57,33801,33801,0,0,0,0,33801,1
2,64,1,58,61,61,0,0,0,0,61,1
2,64,1,59,42174,42174,0,0,0,0,42174,1
2,64,1,60,303,303,0,0,0,0,303,1
2,64,1,61,27,27,0,0,0,0,27,1
2,64,1,62,1733,1733,0,0,0,0,1733,1
2,64,1,63,952,952,0,0,0,0,952,1
3,64,1,0,24,24,0,0,0,0,24,1
3,64,1,1,54,54,0,0,0,0,54,1
3,64,1,2,324,324,0,0,0,0,324,1
3,64,1,3,28,28,0,0,0,0,28,1
3,64,1,4,47,47,0,0,0,0,47,1
3,64,1,5,27,27,0,0,0,0,27,1
3,64,1,6,28,28,0,0,0,0,28,1
3,64,1,7,39,39,0,0,0,0,39,1
3,64,1,8,470,470,0,0,0,0,470,1
3,64,1,9,523,523,0,0,0,0,523,1
3,64,1,10,56,56,0,0,0,0,56,1
3,64,1,11,2032,2032,0,0,0,0,2032,1
3,64,1,12,177,177,0,0,0,0,177,1
3,64,1,13,37644,37644,0,0,0,0,37644,1
3,64,1,14,36,36,0,0,0,0,36,1
3,64,1,15,745,745,0,0,0,0,745,1
3,64,1,16,1783,1783,0,0,0,0,1783,1
3,64,1,17,58,58,0,0,0,0,58,1
3,64,1,18,306,306,0,0,0,0,306,1
3,64,1,19,53,53,0,0,0,0,53,1
3,64,1,20,25,25,0,0,0,0,25,1
3,64,1,21,1442,1442,0,0,0,0,1442,1
3,64,1,22,448,448,0,0,0,0,448,1
3,64,1,23,299,299,0,0,0,0,299,1
3,64,1,24,36,36,0,0,0,0,36,1
3,64,1,25,26,26,0,0,0,0,26,1
3,64,1,26,48,48,0,0,0,0,48,1
3,64,1,27,307,307,0,0,0,0,307,1
3,64,1,28,35584,35584,0,0,0,0,35584,1
3,64,1,29,40,40,0,0,0,0,40,1
3,64,1,30,293,293,0,0,0,0,293,1
3,64,1,31,43,43,0,0,0,0,43,1
3,64,1,32,30870,30870,0,0,0,0,30870,1
3,64,1,33,62,62,0,0,0,0,62,1
3,64,1,34,536,536,0,0,0,0,536,1
3,64,1,35,29,29,0,0,0,0,29,1
3,64,1,36,44,44,0,0,0,0,44,1
3,64,1,37,1488,1488,0,0,0,0,1488,1
3,64,1,38,32,32,0,0,0,0,32,1
3,64,1,39,268,268,0,0,0,0,268,1
3,64,1,40,174,174,0,0,0,0,174,1
3,64,1,41,13,13,0,0,0,0,13,1
3,64,1,42,17,17,0,0,0,0,17,1
3,64,1,43,1324,1324,0,0,0,0,1324,1
3,64,1,44,43,43,0,0,0,0,43,1
3,64,1,45,21,21,0,0,0,0,21,1
3,64,1,46,573,573,0,0,0,0,573,1
3,64,1,47,19,19,0,0,0,0,19,1
3,64,1,48,37,37,0,0,0,0,37,1
3,64,1,49,41298,41298,0,0,0,0,41298,1
3,64,1,50,268,268,0,0,0,0,268,1
3,64,1,51,474,474,0,0,0,0,474,1
3,64,1,52,20,20,0,0,0,0,20,1
3,64,1,53,29828,29828,0,0,0,0,29828,1
3,64,1,54,14,14,0,0,0,0,14,1
3,64,1,55,37844,37844,0,0,0,0,37844,1
3,64,1,56,17,17,0,0,0,0,17,1
3,64,1,57,33617,33617,0,0,0,0,33617,1
3,64,1,58,46,46,0,0,0,0,46,1
3,64,1,59,42287,42287,0,0,0,0,42287,1
3,64,1,60,255,255,0,0,0,0,255,1
3,64,1,61,25,25,0,0,0,0,25,1
3,64,1,62,1929,1929,0,0,0,0,1929,1
3,64,1,63,1026,1026,0,0,0,0,1026,1
4,64,1,0,14,14,0,0,0,0,14,1
4,64,1,1,49,49,0,0,0,0,49,1
4,64,1,2,246,246,0,0,0,0,246,1
4,64,1,3,13,13,0,0,0,0,13,1
4,64,1,4,329,329,0,0,0,0,329,1
4,64,1,5,28,28,0,0,0,0,28,1
4,64,1,6,14,14,0,0,0,0,14,1
4,64,1,7,81,81,0,0,0,0,81,1
4,64,1,8,508,508,0,0,0,0,508,1
4,64,1,9,566,566,0,0,0,0,566,1
4,64,1,10,25,25,0,0,0,0,25,1
4,64,1,11,1897,1897,0,0,0,0,1897,1
4,64,1,12,139,139,0,0,0,0,139,1
4,64,1,13,38113,38113,0,0,0,0,38113,1
4,64,1,14,40,40,0,0,0,0,40,1
4,64,1,15,764,764,0,0,0,0,764,1
4,64,1,16,1647,1647,0,0,0,0,1647,1
4,64,1,17,44,44,0,0,0,0,44,1
4,64,1,18,232,232,0,0,0,0,232,1
4,64,1,19,49,49,0,0,0,0,49,1
4,64,1,20,13,13,0,0,0,0,13,1
4,64,1,21,1459,1459,0,0,0,0,1459,1
4,64,1,22,521,521,0,0,0,0,521,1
4,64,1,23,275,275,0,0,0,0,275,1
4,64,1,24,30,30,0,0,0,0,30,1
4,64,1,25,4,4,0,0,0,0,4,1
4,64,1,26,45,45,0,0,0,0,45,1
4,64,1,27,233,233,0,0,0,0,233,1
4,64,1,28,35885,35885,0,0,0,0,35885,1
4,64,1,29,46,46,0,0,0,0,46,1
4,64,1,30,314,314,0,0,0,0,314,1
4,64,1,31,51,51,0,0,0,0,51,1
4,64,1,32,31057,31057,0,0,0,0,31057,1
4,64,1,33,25,25,0,0,0,0,25,1
4,64,1,34,464,464,0,0,0,0,464,1
4,64,1,35,6,6,0,0,0,0,6,1
4,64,1,36,46,46,0,0,0,0,46,1
4,64,1,37,1475,1475,0,0,0,0,1475,1
4,64,1,38,24,24,0,0,0,0,24,1
4,64,1,39,249,249,0,0,0,0,249,1
4,64,1,40,151,151,0,0,0,0,151,1
4,64,1,41,2,2,0,0,0,0,2,1
4,64,1,42,10,10,0,0,0,0,10,1
4,64,1,43,1396,1396,0,0,0,0,1396,1
4,64,1,44,44,44,0,0,0,0,44,1
4,64,1,45,29,29,0,0,0,0,29,1
4,64,1,46,511,511,0,0,0,0,511,1
4,64,1,47,16,16,0,0,0,0,16,1
4,64,1,48,17,17,0,0,0,0,17,1
4,64,1,49,41386,41386,0,0,0,0,41386,1
4,64,1,50,242,242,0,0,0,0,242,1
4,64,1,51,567,567,0,0,0,0,567,1
4,64,1,52,25,25,0,0,0,0,25,1
4,64,1,53,29739,29739,0,0,0,0,29739,1
4,64,1,54,17,17,0,0,0,0,17,1
4,64,1,55,38211,38211,0,0,0,0,38211,1
4,64,1,56,12,12,0,0,0,0,12,1
4,64,1,57,34227,34227,0,0,0,0,34227,1
4,64,1,58,60,60,0,0,0,0,60,1
4,64,1,59,42498,42498,0,0,0,0,42498,1
4,64,1,60,250,250,0,0,0,0,250,1
4,64,1,61,17,17,0,0,0,0,17,1
4,64,1,62,1819,1819,0,0,0,0,1819,1
4,64,1,63,961,961,0,0,0,0,961,1
5,64,1,0,5,5,0,0,0,0,5,1
5,64,1,1,47,47,0,0,0,0,47,1
5,64,1,2,262,262,0,0,0,0,262,1
5,64,1,3,6,6,0,0,0,0,6,1
5,64,1,4,49,49,0,0,0,0,49,1
5,64,1,5,27,27,0,0,0,0,27,1
5,64,1,6,47,47,0,0,0,0,47,1
5,64,1,7,50,50,0,0,0,0,50,1
5,64,1,8,565,565,0,0,0,0,565,1
5,64,1,9,418,418,0,0,0,0,418,1
5,64,1,10,50,50,0,0,0,0,50,1
5,64,1,11,2063,2063,0,0,0,0,2063,1
5,64,1,12,158,158,0,0,0,0,158,1
5,64,1,13,37664,37664,0,0,0,0,37664,1
5,64,1,14,43,43,0,0,0,0,43,1
5,64,1,15,746,746,0,0,0,0,746,1
5,64,1,16,1805,1805,0,0,0,0,1805,1
5,64,1,17,49,49,0,0,0,0,49,1
5,64,1,18,246,246,0,0,0,0,246,1
5,64,1,19,49,49,0,0,0,0,49,1
5,64,1,20,5,5,0,0,0,0,5,1
5,64,1,21,1493,1493,0,0,0,0,1493,1
5,64,1,22,560,560,0,0,0,0,560,1
5,64,1,23,240,240,0,0,0,0,240,1
5,64,1,24,26,26,0,0,0,0,26,1
5,64,1,25,51,51,0,0,0,0,51,1
5,64,1,26,49,49,0,0,0,0,49,1
5,64,1,27,254,254,0,0,0,0,254,1
5,64,1,28,35898,35898,0,0,0,0,35898,1
5,64,1,29,80,80,0,0,0,0,80,1
5,64,1,30,347,347,0,0,0,0,347,1
5,64,1,31,53,53,0,0,0,0,53,1
5,64,1,32,30570,30570,0,0,0,0,30570,1
5,64,1,33,19,19,0,0,0,0,19,1
5,64,1,34,423,423,0,0,0,0,423,1
5,64,1,35,12,12,0,0,0,0,12,1
5,64,1,36,81,81,0,0,0,0,81,1
5,64,1,37,1588,1588,0,0,0,0,1588,1
5,64,1,38,26,26,0,0,0,0,26,1
5,64,1,39,197,197,0,0,0,0,197,1
5,64,1,40,121,121,0,0,0,0,121,1
5,64,1,41,4,4,0,0,0,0,4,1
5,64,1,42,3,3,0,0,0,0,3,1
5,64,1,43,1415,1415,0,0,0,0,1415,1
5,64,1,44,82,82,0,0,0,0,82,1
5,64,1,45,15,15,0,0,0,0,15,1
5,64,1,46,445,445,0,0,0,0,445,1
5,64,1,47,6,6,0,0,0,0,6,1
5,64,1,48,51,51,0,0,0,0,51,1
5,64,1,49,41122,41122,0,0,0,0,41122,1
5,64,1,50,207,207,0,0,0,0,207,1
5,64,1,51,546,546,0,0,0,0,546,1
5,64,1,52,16,16,0,0,0,0,16,1
5,64,1,53,29710,29710,0,0,0,0,29710,1
5,64,1,54,8,8,0,0,0,0,8,1
5,64,1,55,38222,38222,0,0,0,0,38222,1
5,64,1,56,28,28,0,0,0,0,28,1
5,64,1,57,34127,34127,0,0,0,0,34127,1
5,64,1,58,46,46,0,0,0,0,46,1
5,64,1,59,42272,42272,0,0,0,0,42272,1
5,64,1,60,283,283,0,0,0,0,283,1
5,64,1,61,51,51,0,0,0,0,51,1
5,64,1,62,1976,1976,0,0,0,0,1976,1
5,64,1,63,993,993,0,0,0,0,993,1
6,64,1,0,68,68,0,0,0,0,68,1
6,64,1,1,53,53,0,0,0,0,53,1
6,64,1,2,267,267,0,0,0,0,267,1
6,64,1,3,52,52,0,0,0,0,52,1
6,64,1,4,77,77,0,0,0,0,77,1
6,64,1,5,49,49,0,0,0,0,49,1
6,64,1,6,5,5,0,0,0,0,5,1
6,64,1,7,72,72,0,0,0,0,72,1
6,64,1,8,510,510,0,0,0,0,510,1
6,64,1,9,509,509,0,0,0,0,509,1
6,64,1,10,32,32,0,0,0,0,32,1
6,64,1,11,2087,2087,0,0,0,0,2087,1
6,64,1,12,163,163,0,0,0,0,163,1
6,64,1,13,37250,37250,0,0,0,0,37250,1
6,64,1,14,43,43,0,0,0,0,43,1
6,64,1,15,967,967,0,0,0,0,967,1
6,64,1,16,1779,1779,0,0,0,0,1779,1
6,64,1,17,59,59,0,0,0,0,59,1
6,64,1,18,260,260,0,0,0,0,260,1
6,64,1,19,57,57,0,0,0,0,57,1
6,64,1,20,53,53,0,0,0,0,53,1
6,64,1,21,1627,1627,0,0,0,0,1627,1
6,64,1,22,490,490,0,0,0,0,490,1
6,64,1,23,272,272,0,0,0,0,272,1
6,64,1,24,35,35,0,0,0,0,35,1
6,64,1,25,30,30,0,0,0,0,30,1
6,64,1,26,45,45,0,0,0,0,45,1
6,64,1,27,247,247,0,0,0,0,247,1
6,64,1,28,34797,34797,0,0,0,0,34797,1
6,64,1,29,88,88,0,0,0,0,88,1
6,64,1,30,320,320,0,0,0,0,320,1
6,64,1,31,89,89,0,0,0,0,89,1
6,64,1,32,30206,30206,0,0,0,0,30206,1
6,64,1,33,24,24,0,0,0,0,24,1
6,64,1,34,475,475,0,0,0,0,475,1
6,64,1,35,24,24,0,0,0,0,24,1
