Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,2,1,0,4015748,0,0,0,0,0,0,0
1,2,1,1,0,2333579,0,0,0,0,2333579,2333579
2,2,1,0,4306725,0,0,0,0,0,0,0
2,2,1,1,0,2206478,0,0,0,0,2206478,2206478
3,2,1,0,4122280,0,0,0,0,0,0,0
3,2,1,1,0,2185018,0,0,0,0,2185018,2185018
4,2,1,0,4075378,0,0,0,0,0,0,0
4,2,1,1,0,2199568,0,0,0,0,2199568,2199568
5,2,1,0,3969555,0,0,0,0,0,0,0
5,2,1,1,0,2134551,0,0,0,0,2134551,2134551
6,2,1,0,4123997,0,0,0,0,0,0,0
6,2,1,1,0,2211335,0,0,0,0,2211335,2211335
7,2,1,0,3891728,0,0,0,0,0,0,0
7,2,1,1,0,2163371,0,0,0,0,2163371,2163371
8,2,1,0,3906917,0,0,0,0,0,0,0
8,2,1,1,0,2113973,0,0,0,0,2113973,2113973
9,2,1,0,4058370,0,0,0,0,0,0,0
9,2,1,1,0,2131752,0,0,0,0,2131752,2131752
10,2,1,0,4012284,0,0,0,0,0,0,0
10,2,1,1,0,2200024,0,0,0,0,2200024,2200024
