Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,1,0,116219000,116219000,0,0,0,0,116219000,1000
2,1,1,0,115602000,115602000,0,0,0,0,115602000,1000
3,1,1,0,116055000,116055000,0,0,0,0,116055000,1000
4,1,1,0,116133000,116133000,0,0,0,0,116133000,1000
5,1,1,0,115891000,115891000,0,0,0,0,115891000,1000
6,1,1,0,116287000,116287000,0,0,0,0,116287000,1000
7,1,1,0,116383000,116383000,0,0,0,0,116383000,1000
8,1,1,0,116142000,116142000,0,0,0,0,116142000,1000
9,1,1,0,116089000,116089000,0,0,0,0,116089000,1000
10,1,1,0,115995000,115995000,0,0,0,0,115995000,1000
