Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,2,1,0,4556668,0,0,0,0,0,0,0
1,2,1,1,0,2257709,0,0,0,0,2257709,2257709
2,2,1,0,3991588,0,0,0,0,0,0,0
2,2,1,1,0,2058118,0,0,0,0,2058118,2058118
3,2,1,0,4197148,0,0,0,0,0,0,0
3,2,1,1,0,2187240,0,0,0,0,2187240,2187240
4,2,1,0,4149957,0,0,0,0,0,0,0
4,2,1,1,0,2190920,0,0,0,0,2190920,2190920
5,2,1,0,3883345,0,0,0,0,0,0,0
5,2,1,1,0,2079304,0,0,0,0,2079304,2079304
6,2,1,0,3914376,0,0,0,0,0,0,0
6,2,1,1,0,2028498,0,0,0,0,2028498,2028498
7,2,1,0,4148534,0,0,0,0,0,0,0
7,2,1,1,0,2200274,0,0,0,0,2200274,2200274
8,2,1,0,3992084,0,0,0,0,0,0,0
8,2,1,1,0,2120276,0,0,0,0,2120276,2120276
9,2,1,0,3939913,0,0,0,0,0,0,0
9,2,1,1,0,2039596,0,0,0,0,2039596,2039596
10,2,1,0,3944785,0,0,0,0,0,0,0
10,2,1,1,0,2036880,0,0,0,0,2036880,2036880
