Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,10,1,1.000007,0,35555,35555,0,0,32786,6443,35555,1
1,10,1,1.000004,1,35856,35856,0,0,33802,7301,35856,1
1,10,1,1.000003,2,34911,34911,0,0,38563,9891,34911,1
1,10,1,1.000000,3,33185,33185,0,0,35090,9438,33185,1
1,10,1,1.000011,4,33962,33962,0,0,39473,8198,33962,1
1,10,1,1.000001,5,33238,33238,0,0,35734,9384,33238,1
1,10,1,1.000005,6,33931,33931,0,0,34256,8942,33931,1
1,10,1,1.000007,7,36080,36080,0,0,40566,8845,36080,1
1,10,1,1.000002,8,34344,34344,0,0,35420,8689,34344,1
1,10,1,1.000006,9,35741,35741,0,0,36944,9327,35741,1
2,10,1,1.000015,0,33972,33972,0,0,27912,9067,33972,1
2,10,1,1.000020,1,32986,32986,0,0,32918,8938,32986,1
2,10,1,1.000016,2,32306,32306,0,0,33857,10835,32306,1
2,10,1,1.000017,3,32177,32177,0,0,31926,10254,32177,1
2,10,1,1.000019,4,32099,32099,0,0,31736,10301,32099,1
2,10,1,1.000020,5,30519,30519,0,0,38013,8501,30519,1
2,10,1,1.000015,6,31457,31457,0,0,37192,8485,31457,1
2,10,1,1.000020,7,32506,32506,0,0,33918,10006,32506,1
2,10,1,1.000016,8,32666,32666,0,0,32458,10169,32666,1
2,10,1,1.000019,9,31606,31606,0,0,37685,7807,31606,1
